[[-0.0013, 0.1507, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0013, 0.1607, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0113, 0.1507, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[0.0087, 0.1607, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0113, 0.1607, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0013, 0.1607, 0.1643, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0213, 0.1507, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[0.0087, 0.1607, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0013, 0.1607, 0.1743, -0.019, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0013, 0.1607, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0013, 0.1607, 0.1743, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152626]]
[[-0.0013, 0.1607, 0.1843, -0.018, 0.0, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152527]]
